# Rime user dictionary
#@/db_name	FlyDP.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	102671
#@/user_id	Dell5370_Win
a 	啊	c=156 d=1.4796 t=102671
xiang bu xiang 	想不想	c=0 d=4.27692e-39 t=102671
xiang bu xiang yao 	想不想要	c=1 d=4.29836e-38 t=102671
xiang chi 	相斥	c=21 d=1.89786e-109 t=102671
xiang dang 	相当	c=1 d=8.01265e-12 t=102671
xiang dang yu 	相当于	c=8 d=0.000227127 t=102671
xiang dao 	想到	c=7 d=2.35338e-10 t=102671
xiang de 	想得	c=1 d=3.5186e-36 t=102671
xiang die 	相叠	c=3 d=2.39982 t=98907
xiang dui 	相对	c=69 d=0.127956 t=102671
xiang dui lai shuo 	相对来说	c=1 d=1.55482e-16 t=102671
xiang dui lu jing 	相对路径	c=1 d=7.90116e-53 t=102671
xiang dui ying 	相对应	c=1 d=1 t=101788
xiang fa 	想法	c=5 d=1.93743e-30 t=102671
xiang fan 	相反	c=4 d=9.66619e-06 t=102671
xiang gai 	向该	c=1 d=9.46493e-148 t=102671
xiang gan 	相干	c=1 d=6.63339e-113 t=102671
xiang guan 	相关	c=57 d=0.847894 t=102671
xiang guo 	想过	c=1 d=5.09784e-133 t=102671
xiang hou 	向后	c=1 d=3.58114e-08 t=102671
xiang hu 	相互	c=36 d=0.00098783 t=102671
xiang hu zhi jian 	相互之间	c=1 d=2.36582e-72 t=102671
xiang ji 	相机	c=8 d=6.35877e-48 t=102671
xiang jian 	详见	c=1 d=2.33696e-104 t=102671
xiang jiao 	橡胶	c=8 d=0.57605 t=102671
xiang jiao 	相交	c=1 d=1.28416e-60 t=102671
xiang jiao hrw 	橡胶环	c=6 d=9.90617e-116 t=102671
xiang jiao jian 	橡胶件	c=1 d=1.8294e-135 t=102671
xiang jiao pian 	橡胶片	c=11 d=4.95299e-116 t=102671
xiang jiao quan 	橡胶圈	c=18 d=4.68769e-116 t=102671
xiang jiao tao 	橡胶套	c=1 d=1 t=81362
xiang jie 	相接	c=3 d=1.13705e-11 t=102671
xiang jin 	相近	c=19 d=3.21175e-09 t=102671
xiang jin si 	相近似	c=1 d=9.99457e-24 t=102671
xiang ju 	相距	c=2 d=2.57812e-111 t=102671
xiang kan 	想看	c=1 d=6.18703e-117 t=102671
xiang kuai 	想快	c=0 d=0.000882647 t=102671
xiang kuang 	相框	c=1 d=1.01588e-97 t=102671
xiang lian 	相连	c=21 d=0.197899 t=102671
xiang lin 	相邻	c=10 d=2.08023e-07 t=102671
xiang mu 	项目	c=19 d=0.00022263 t=102671
xiang nei 	向内	c=13 d=0.064894 t=102671
xiang nei yan shen 	向内延伸	c=1 d=6.0228e-124 t=102671
xiang ni 	想你	c=1 d=1.44199e-12 t=102671
xiang pei he 	相配合	c=1 d=1 t=101418
xiang pi pei 	相匹配	c=33 d=0.952046 t=102671
xiang pi sai 	橡皮塞	c=1 d=0.0880368 t=102671
xiang pian 	相片	c=1 d=1 t=89318
xiang qi 	想起	c=1 d=1.09529e-12 t=102671
xiang qi lai 	想起来	c=1 d=1 t=95601
xiang qi le 	想起了	c=1 d=2.93139e-35 t=102671
xiang qian 	向前	c=13 d=3.6902e-08 t=102671
xiang qian shu song 	向前输送	c=1 d=1 t=82987
xiang qie 	相切	c=3 d=1.07229 t=96009
xiang shang 	向上	c=16 d=0.00172078 t=102671
xiang shi ying 	相适应	c=1 d=0.810584 t=102671
xiang shou 	享受	c=15 d=0.621885 t=102671
xiang shou dao 	享受到	c=1 d=1 t=91163
xiang shun 	向顺	c=1 d=1 t=92151
xiang shuo 	想说	c=1 d=1 t=87584
xiang si 	相似	c=1 d=3.22299e-33 t=102671
xiang su 	像素	c=3 d=2.9606e-73 t=102671
xiang su dian 	像素点	c=20 d=5.60149e-70 t=102671
xiang tao 	想逃	c=0 d=1.01761e-118 t=102671
xiang ti 	箱体	c=18 d=0.015931 t=102671
xiang tie 	相贴	c=1 d=1 t=102110
xiang tie he 	相贴合	c=1 d=1 t=101853
xiang tong 	相同	c=11 d=2.88186e-11 t=102671
xiang tong 	相通	c=1 d=1 t=97818
xiang wai 	向外	c=22 d=0.0710054 t=102671
xiang xi 	详细	c=8 d=0.486752 t=102671
xiang xia 	向下	c=8 d=3.11329e-08 t=102671
xiang xiang 	想想	c=9 d=2.41295e-10 t=102671
xiang xiang jie gou 	想想结构	c=1 d=1.56167e-97 t=102671
xiang yao 	想要	c=12 d=0.000893825 t=102671
xiang yin 	乡音	c=1 d=2.81244e-77 t=102671
xiang ying 	响应	c=23 d=0.631284 t=102671
xiang ying 	相应	c=7 d=0.000102055 t=102671
xiang yong 	想用	c=1 d=1 t=95458
xiang you 	享有	c=1 d=0.12307 t=102671
xiang yu 	相遇	c=1 d=8.54821e-126 t=102671
xiang zhe 	想着	c=5 d=0.0478349 t=102671
xiao 	小	c=38 d=0.154896 t=102671
xiao bai 	小白	c=1 d=5.02365e-137 t=102671
xiao bao 	小宝	c=1 d=1.71654e-33 t=102671
xiao biao ti 	小标题	c=1 d=1 t=88640
xiao che 	小车	c=3 d=6.913e-40 t=102671
xiao cheng xu 	小程序	c=2 d=1.13005e-42 t=102671
xiao dao 	笑道	c=1 d=6.02338e-37 t=102671
xiao dao xiao xi 	小道消息	c=1 d=6.05357e-37 t=102671
xiao de 	晓得	c=28 d=1.37984e-09 t=102671
xiao du 	消毒	c=1 d=1 t=97872
xiao du yi qing 	小赌怡情	c=1 d=4.20424e-101 t=102671
xiao fei zhe 	消费者	c=3 d=3.74133e-139 t=102671
xiao guo 	效果	c=36 d=0.0575558 t=102671
xiao guo hao 	效果好	c=3 d=4.72608e-07 t=102671
xiao guo tu 	效果图	c=3 d=2.20138e-48 t=102671
xiao hai 	小孩	c=9 d=0.744532 t=102671
xiao hai zi 	小孩子	c=1 d=3.74725e-12 t=102671
xiao he 	小河	c=1 d=2.8596e-08 t=102671
xiao hedn; 	小鹤	c=6 d=2.88834e-08 t=102671
xiao hu 	小胡	c=1 d=1.75348e-107 t=102671
xiao hua 	消化	c=1 d=1.83632e-150 t=102671
xiao huo zi 	小伙子	c=1 d=1 t=85541
xiao jie jie 	小姐姐	c=2 d=1.26483e-114 t=102671
xiao jiyn; 	小鸡	c=2 d=2.5454e-21 t=102671
xiao lan 	小兰	c=0 d=3.19105e-152 t=102671
xiao lang hao 	小狼毫	c=13 d=0.843665 t=102671
xiao lv 	效率	c=36 d=6.87619e-06 t=102671
xiao lv di 	效率低	c=1 d=1.30659e-146 t=102671
xiao miao 	小庙	c=1 d=1.89128e-144 t=102671
xiao min 	小敏	c=1 d=1 t=95009
xiao qiao 	小巧	c=2 d=2.29644e-16 t=102671
xiao qiu 	小球	c=26 d=5.36719e-127 t=102671
xiao san 	小三	c=1 d=1 t=98182
xiao sheng qi 	消声器	c=1 d=6.08722e-14 t=102671
xiao shi 	小时	c=7 d=3.84754e-11 t=102671
xiao shi 	消失	c=5 d=2.47878e-13 t=102671
xiao shi hou 	小时候	c=1 d=7.39589e-99 t=102671
xiao shou 	销售	c=10 d=1.76977e-10 t=102671
xiao si 	小四	c=1 d=1 t=88809
xiao tou 	小偷	c=1 d=8.46603e-130 t=102671
xiao tui 	小腿	c=1 d=1 t=101546
xiao wa 	小娃	c=1 d=2.00576e-12 t=102671
xiao wu 	小五	c=1 d=1 t=88807
xiao xi 	消息	c=7 d=5.44943e-06 t=102671
xiao xie 	小鞋	c=1 d=4.59734e-35 t=102671
xiao xin 	小心	c=2 d=3.79212e-05 t=102671
xiao xing 	小型	c=2 d=1.03652 t=87030
xiao xue 	小学	c=1 d=2.18498e-107 t=102671
xiao xue sheng 	小学生	c=1 d=3.85127e-40 t=102671
xiao yu 	小于	c=20 d=0.349938 t=102671
xiao yue 	小月	c=1 d=3.25551e-151 t=102671
xiao zi 	小子	c=1 d=1 t=95260
xid 	洗	c=2 d=1.91851 t=94807
xie cheng 	写成	c=3 d=3.23363e-13 t=102671
xie cheng 	携程	c=1 d=8.00752e-122 t=102671
xie chu lai 	写出来	c=2 d=1.30317e-27 t=102671
xie dai 	携带	c=5 d=2.23974e-16 t=102671
xie dao 	写到	c=3 d=0.146706 t=102671
xie dao 	写道	c=1 d=0.0724398 t=102671
xie fa 	写法	c=3 d=2.09159e-05 t=102671
xie gang 	斜杠	c=3 d=7.82971e-05 t=102671
xie ge 	写个	c=2 d=0.273898 t=102671
xie guo 	写过	c=2 d=5.09935e-10 t=102671
xie hao 	写好	c=13 d=3.40597e-06 t=102671
xie hui 	协会	c=21 d=0.548812 t=102671
xie jin 	写进	c=1 d=4.1235e-20 t=102671
xie jin qu 	写进去	c=4 d=4.71372e-35 t=102671
xie lai 	写来	c=1 d=1 t=88277
xie liao 	卸料	c=2 d=1 t=93190
xie mian 	斜面	c=7 d=0.360857 t=102671
xie mian 	鞋面	c=1 d=6.76026e-130 t=102671
xie ming 	写明	c=1 d=1.10435e-50 t=102671
xie sha 	些啥	c=1 d=1 t=79988
xie shang 	协商	c=1 d=0.429557 t=102671
xie wan 	写完	c=2 d=0.00748391 t=102671
xie xian 	斜线	c=4 d=3.71209 t=83500
xie xie 	谢谢	c=57 d=0.923116 t=102671
xie xing 	楔形	c=1 d=1 t=88166
xie ya fa 	泄压阀	c=1 d=9.96199e-15 t=102671
xie yi 	协议	c=36 d=0.302704 t=102671
xie yi ge 	写一个	c=2 d=3.00755e-72 t=102671
xie zai 	写在	c=2 d=2.19353e-06 t=102671
xie zai 	卸载	c=4 d=6.0715e-13 t=102671
xie zhe 	写着	c=1 d=1 t=101704
xie zhu 	协助	c=1 d=1 t=78921
xie zi 	鞋子	c=5 d=0.00100093 t=102671
xij 	锡	c=1 d=4.75416e-106 t=102671
xijw 	锡	c=1 d=4.70685e-106 t=102671
xik 	吸	c=11 d=4.7992e-06 t=102671
xik igk 	吸呈	c=1 d=0.00263203 t=102671
xik tse 	吸峒	c=1 d=2.78938e-39 t=102671
xik; her 	吸合	c=9 d=3.08917e-110 t=102671
xik; her liv 	吸合力	c=8 d=3.23222e-110 t=102671
xin 	新	c=38 d=1.09749 t=102671
xin an 	心安	c=1 d=3.49261e-37 t=102671
xin biao 	信标	c=2 d=1.97045 t=97980
xin che 	新车	c=2 d=1.9441e-27 t=102671
xin dao 	信道	c=1 d=1 t=98569
xin de 	心得	c=1 d=1.96738e-20 t=102671
xin guan 	新冠	c=1 d=8.60625e-88 t=102671
xin hao 	信号	c=35 d=0.779852 t=102671
xin huan 	新欢	c=1 d=1 t=95614
xin jian 	新建	c=10 d=0.647265 t=102671
xin li 	心理	c=1 d=1 t=101647
xin li 	心里	c=1 d=6.7497e-141 t=102671
xin neng yuan 	新能源	c=4 d=1.97425e-21 t=102671
xin pai fang 	新牌坊	c=1 d=5.02601e-25 t=102671
xin ren 	新人	c=1 d=5.40002e-134 t=102671
xin shang 	心上	c=1 d=4.29982e-42 t=102671
xin shang 	欣赏	c=1 d=2.16994e-114 t=102671
xin shen qing 	新申请	c=1 d=2.68657e-09 t=102671
xin shou 	新手	c=2 d=4.38864e-106 t=102671
xin wen 	新闻	c=4 d=3.16184e-99 t=102671
xin wen ti 	新问题	c=1 d=7.42008e-108 t=102671
xin xi 	信息	c=90 d=0.0183156 t=102671
xin xing 	新型	c=2 d=3.62773e-13 t=102671
xin ying xing 	新颖性	c=2 d=1.29996e-71 t=102671
xin yong 	信用	c=3 d=1.12884e-14 t=102671
xin yong hu 	新用户	c=4 d=3.42112e-29 t=102671
xin yong ka 	信用卡	c=8 d=0.000169951 t=102671
xin zang 	心脏	c=2 d=2.1348e-32 t=102671
xin zeng 	新增	c=1 d=1 t=87735
xin zheng ce 	新政策	c=2 d=3.72481e-49 t=102671
xing cao 	形槽	c=6 d=2.61553 t=87213
xing cheng 	形成	c=75 d=0.137837 t=102671
xing cheng 	行程	c=16 d=4.07093e-78 t=102671
xing cheng dan 	行程单	c=1 d=0.000884932 t=102671
xing cheng jian ce 	形成检测	c=1 d=1.58284e-79 t=102671
xing dong 	行动	c=0 d=1.18911e-68 t=102671
xing dong lun 	行动轮	c=1 d=1.19507e-67 t=102671
xing gang 	型钢	c=2 d=3.04431e-138 t=102671
xing hao 	型号	c=5 d=1 t=95309
xing ming 	姓名	c=13 d=0.00244733 t=102671
xing neng 	性能	c=7 d=6.01847e-15 t=102671
xing qi 	星期	c=1 d=8.72832e-136 t=102671
xing qi tian 	星期天	c=1 d=3.72059e-75 t=102671
xing qu 	兴趣	c=1 d=1 t=98006
xing shi 	形式	c=7 d=3.22748e-20 t=102671
xing shi 	行驶	c=4 d=5.8895e-79 t=102671
xing wei 	行为	c=1 d=6.13044e-09 t=102671
xing xiang 	形象	c=1 d=3.46574e-05 t=102671
xing xing 	行星	c=2 d=1.03597 t=87031
xing xing chi lun 	行星齿轮	c=0 d=0.1 t=86890
xing xing chi lun jian su qi 	行星齿轮减速器	c=3 d=1.99005 t=102279
xing zhuang 	形状	c=29 d=4.63229e-05 t=102671
xiong bu 	胸部	c=2 d=3.15755e-27 t=102671
xiong di 	兄弟	c=1 d=1 t=101275
xiong pian 	胸片	c=44 d=2.71188 t=102671
xiong pian herm 	胸片盒	c=6 d=2.35084 t=102671
xiong pian jxl 	胸片架	c=5 d=0.898023 t=102671
xip 	夕	c=1 d=3.66832e-85 t=102671
xipx 	系	c=3 d=3.59957e-83 t=102671
xipx uumw; 	系数	c=1 d=0.628135 t=102671
xis 	细	c=2 d=1.39492e-102 t=102671
xiu 	休	c=1 d=6.32103e-75 t=102671
xiu 	修	c=1 d=1.01308e-94 t=102671
xiu ding 	修订	c=1 d=2.65868e-92 t=102671
xiu fu 	修复	c=6 d=5.25182e-42 t=102671
xiu gai 	修改	c=100 d=3.86582 t=102671
xiu mian 	休眠	c=2 d=2.9323e-68 t=102671
xiu shan 	秀山	c=1 d=6.73544e-28 t=102671
xiu shi ci 	修饰词	c=1 d=1 t=93349
xiu xi 	休息	c=6 d=5.16101e-22 t=102671
xiu zheng 	修正	c=1 d=4.08512e-57 t=102671
xki 	行	c=4 d=0.000858778 t=102671
xkk 	型	c=1 d=6.54841e-79 t=102671
xkk 	形	c=23 d=7.9692e-07 t=102671
xkk mau 	形码	c=4 d=3.55647 t=95518
xkk; 	型	c=1 d=7.11626e-28 t=102671
xkke; 	邢	c=2 d=1.99501 t=91474
xkkt 	型	c=9 d=8.61148e-07 t=102671
xko 	星	c=2 d=0.00264522 t=102671
xkx 	性	c=5 d=0.00514361 t=102671
xkxb; 	兴	c=3 d=1.92344e-19 t=102671
xld fui 	象蝠	c=2 d=7.86176e-53 t=102671
xlg 	项	c=9 d=7.77451e-10 t=102671
xlm 	相	c=26 d=0.655839 t=102671
xlm bei li 	相背离	c=2 d=1.64726 t=81127
xlm chi li 	相吃力	c=2 d=3.24394e-111 t=102671
xlm npk; her; 	相啮合	c=1 d=1 t=102264
xlm xik 	相吸	c=7 d=3.76322e-62 t=102671
xlm xik liv 	相吸力	c=1 d=2.95755e-110 t=102671
xlp 	向	c=33 d=0.0895482 t=102671
xlp 	祥	c=3 d=1.44265e-85 t=102671
xlp zhong jian 	向中间	c=1 d=9.69392e-47 t=102671
xlpy; yuw 	祥玉	c=1 d=2.98654e-19 t=102671
xlr 	像	c=13 d=0.943266 t=102671
xlr jiao bian 	像狡辩	c=1 d=8.14819e-121 t=102671
xlv 	箱	c=1 d=1 t=89650
xlvo 	箱	c=11 d=0.980166 t=102671
xlvo; 	箱	c=4 d=8.14622e-141 t=102671
xlvo; biut; 	箱壁	c=3 d=6.5222e-120 t=102671
xlvo; gdy; 	箱盖	c=10 d=1.71386e-142 t=102671
xlvo; tirb; 	箱体	c=1 d=1.18754e-147 t=102671
xlw 	享	c=2 d=1.85949 t=102671
xlw tu jin 	享图进	c=1 d=0.904837 t=102671
xmay 	鲜	c=2 d=1.99005 t=94712
xme 	限	c=1 d=2.68951e-110 t=102671
xme wei 	限为	c=1 d=0.116484 t=102671
xme wwr hrw 	限位环	c=4 d=2.85551 t=90994
xme; wwrl; 	限位	c=16 d=0.117535 t=102671
xme; wwrl; bjm 	限位板	c=2 d=4.02143e-78 t=102671
xme; wwrl; bmzl 	限位边	c=1 d=1 t=99752
xme; wwrl; kkt 	限位块	c=7 d=0.035913 t=102671
xme; wwrl; ksz 	限位孔	c=2 d=8.80423e-78 t=102671
xmm 	闲	c=1 d=1.61499e-139 t=102671
xmou dong 	腺动	c=5 d=2.31157e-05 t=102671
xms 	纤	c=2 d=2.6949e-16 t=102671
xms 	线	c=35 d=9.473e-11 t=102671
xms zhuang 	线状	c=1 d=1 t=99246
xms; jki 	线径	c=1 d=1.62081e-05 t=102671
xmw 	现	c=4 d=7.34446e-17 t=102671
xnn 	姣	c=0 d=0.1 t=89381
xnn cao nao nao 	姣曹闹闹	c=1 d=1 t=89382
xpb 	写	c=124 d=1.6839 t=102671
xpb an zi 	写案子	c=1 d=1 t=87454
xpb yi jian 	写一件	c=1 d=1.41661e-09 t=102671
xpd; yzdy; 	泄油	c=4 d=1.7324e-142 t=102671
xpd; yzdy; fa men 	泄油阀门	c=1 d=1.77195e-142 t=102671
xpd; yzdy; grv 	泄油管	c=6 d=6.20915e-142 t=102671
xpd; yzdy; grv lu 	泄油管路	c=1 d=1.53278e-142 t=102671
xpd; yzdy; ksz; 	泄油孔	c=4 d=1.39385e-146 t=102671
xpg 	鞋	c=1 d=1.95019e-05 t=102671
xpr 	斜	c=5 d=0.151829 t=102671
xpr; igf 	斜撑	c=1 d=1 t=92698
xpr; xlp 	斜向	c=1 d=1 t=92695
xpu 	屑	c=4 d=1.4967e-09 t=102671
xpv 	些	c=7 d=2.86593e-34 t=102671
xpy 	谢	c=14 d=0.222028 t=102671
xpy lao shi 	谢老师	c=1 d=9.81972e-81 t=102671
xpy shi 	谢是	c=1 d=1 t=98274
xpy xiao lan 	谢小兰	c=5 d=5.50794e-14 t=102671
xrf 	旋	c=1 d=1.13065e-121 t=102671
xrf; her 	旋合	c=4 d=1.4266e-120 t=102671
xso 	胸	c=2 d=1.39353e-97 t=102671
xsx 	凶	c=1 d=2.33783e-79 t=102671
xu hang 	续航	c=3 d=1.59793e-73 t=102671
xu hao 	序号	c=13 d=3.64715e-17 t=102671
xu huang yi qiang 	虚晃一枪	c=1 d=2.09195e-07 t=102671
xu ke 	许可	c=6 d=1.13367 t=102671
xu lie 	序列	c=1 d=3.8702e-127 t=102671
xu neng 	蓄能	c=1 d=1.01744e-115 t=102671
xu ni 	虚拟	c=1 d=0.0510474 t=102671
xu ning 	絮凝	c=17 d=2.24515 t=102671
xu ning chu li xlvo 	絮凝处理箱	c=1 d=0.0682212 t=102671
xu ning ji 	絮凝剂	c=6 d=0.707171 t=102671
xu qiu 	需求	c=40 d=0.00759701 t=102671
xu yao 	需要	c=293 d=0.440103 t=102671
xu yao bao hu de 	需要保护的	c=1 d=1 t=78823
xuan 	选	c=6 d=0.000186888 t=102671
xuan bi 	悬臂	c=2 d=8.49909e-47 t=102671
xuan chuan 	宣传	c=1 d=1.01343e-98 t=102671
xuan diao 	悬吊	c=1 d=2.99032e-122 t=102671
xuan feng 	旋风	c=3 d=8.73603e-117 t=102671
xuan fu 	悬浮	c=2 d=3.62514e-34 t=102671
xuan kong 	悬空	c=1 d=1 t=79380
xuan qu 	选取	c=2 d=3.22574e-84 t=102671
xuan ran 	渲染	c=2 d=6.59621e-38 t=102671
xuan xiang 	选项	c=4 d=2.17429e-20 t=102671
xuan yao 	炫耀	c=1 d=6.73593e-117 t=102671
xuan ze 	选择	c=22 d=0.0900398 t=102671
xuan zed 	选泽	c=-3 d=4.65225e-20 t=102671
xuan zhong 	选中	c=2 d=1 t=101367
xuan zhuan 	旋转	c=13 d=7.72496e-23 t=102671
xue 	学	c=7 d=0.0277367 t=102671
xue fei 	学费	c=1 d=6.00885e-38 t=102671
xue hui 	学会	c=1 d=0.970446 t=102671
xue sheng 	学生	c=8 d=6.31606e-07 t=102671
xue shu 	学术	c=1 d=1 t=79982
xue wei 	学位	c=1 d=5.91838e-36 t=102671
xue wo 	学我	c=1 d=3.84145e-10 t=102671
xue xi 	学习	c=35 d=0.0409665 t=102671
xue xiao 	学校	c=107 d=0.000429874 t=102671
xue xiao yi jing 	学校已经	c=1 d=3.65721e-20 t=102671
xue yuan 	学院	c=49 d=2.01096 t=102671
xue zhe 	学者	c=4 d=0.102737 t=102671
xug 	序	c=6 d=0.348192 t=102671
xuh 	虚	c=1 d=1.88947e-74 t=102671
xuj 	旭	c=1 d=2.97468e-31 t=102671
xun 	寻	c=0 d=2.40526e-91 t=102671
xun huan 	循环	c=8 d=3.15218e-07 t=102671
xun huan beng 	循环泵	c=3 d=2.42513e-14 t=102671
xun lei 	迅雷	c=1 d=1.37195e-132 t=102671
xun lian 	训练	c=16 d=0.411344 t=102671
xun lian hou 	寻脸厚	c=1 d=2.41732e-90 t=102671
xun lian hua 	训练话	c=1 d=1.70728e-87 t=102671
xun lian yong 	训练用	c=2 d=0.000907334 t=102671
xun lian zu 	训练组	c=1 d=2.01911e-90 t=102671
xun ren 	寻人	c=2 d=2.11289e-28 t=102671
xun xu jian jin 	循序渐进	c=1 d=4.3617e-63 t=102671
xun zhao 	寻找	c=6 d=6.36714e-28 t=102671
xuo jin 	煦进	c=1 d=1 t=81807
xuo yong 	煦用	c=1 d=9.53955e-64 t=102671
xus 	续	c=4 d=8.99683e-22 t=102671
xuy 	需	c=5 d=1.11974e-07 t=102671
xxa 	夏	c=4 d=2.43422e-25 t=102671
xxk 	吓	c=1 d=1.70676e-54 t=102671
xyy 	讯	c=2 d=1.80362e-27 t=102671
ya 	丫	c=2 d=2.66012e-69 t=102671
ya 	压	c=9 d=0.0483132 t=102671
ya ban 	压板	c=6 d=2.82789 t=99834
ya bian 	压扁	c=1 d=3.65325e-66 t=102671
ya chi 	牙齿	c=3 d=1.91766e-124 t=102671
ya chi huai 	牙齿坏	c=1 d=9.75848e-125 t=102671
ya ke li 	亚克力	c=4 d=6.34808e-57 t=102671
ya li 	压力	c=28 d=1.1024e-13 t=102671
ya li shan da 	压力山大	c=1 d=2.39864e-87 t=102671
ya ping 	压平	c=2 d=2.51921e-17 t=102671
ya qiang 	压强	c=3 d=1.019e-122 t=102671
ya ru 	压入	c=3 d=8.28905e-58 t=102671
ya suo 	压缩	c=35 d=0.153423 t=102671
ya suo kong qi 	压缩空气	c=3 d=9.92315e-116 t=102671
ya suo qi ti 	压缩气体	c=1 d=5.35466e-123 t=102671
ya wan 	压弯	c=23 d=1.74967 t=102671
ya ya 	丫丫	c=0 d=5.78486e-92 t=102671
ya ya liv 	丫丫力	c=1 d=5.81385e-91 t=102671
ya zai 	压在	c=1 d=3.29783e-09 t=102671
yaa 	牙	c=2 d=1.71412e-124 t=102671
yan cha 	严查	c=1 d=3.46717e-98 t=102671
yan chang 	延长	c=7 d=2.03753e-08 t=102671
yan chang 	演唱	c=3 d=2.95963e-85 t=102671
yan chi 	延迟	c=1 d=0.240508 t=102671
yan ge 	严格	c=5 d=1.98552e-10 t=102671
yan ge 	阉割	c=2 d=6.05466e-149 t=102671
yan guang 	眼光	c=1 d=0.0028799 t=102671
yan huan 	延缓	c=1 d=0.232236 t=102671
yan hui 	宴会	c=1 d=0.360595 t=102671
yan jin 	严谨	c=1 d=2.65984e-09 t=102671
yan jing she 	眼镜蛇	c=2 d=9.54343e-149 t=102671
yan jiu 	研究	c=17 d=0.582748 t=102671
yan jiu sheng 	研究生	c=2 d=2.35378e-12 t=102671
yan jiu yi xia 	研究一下	c=1 d=2.62694e-39 t=102671
yan shen 	延伸	c=34 d=0.265001 t=102671
yan sheng 	衍生	c=1 d=5.33538e-110 t=102671
yan shi 	演示	c=4 d=1.46927e-56 t=102671
yan su 	严肃	c=1 d=1 t=88947
yan tu 	沿途	c=1 d=1.33421e-98 t=102671
yan xi 	研习	c=1 d=1 t=100470
yan zheng 	验证	c=3 d=7.6794e-71 t=102671
yan zheng ma 	验证码	c=10 d=2.80531e-12 t=102671
yan zhong 	严重	c=3 d=2.9332e-101 t=102671
yang 	养	c=1 d=3.58541e-22 t=102671
yang ben 	样本	c=2 d=0.394554 t=102671
yang bu qi 	养不起	c=1 d=5.77324e-38 t=102671
yang huo 	养活	c=1 d=4.84556e-36 t=102671
yang ji ban 	阳极板	c=2 d=3.74129e-132 t=102671
yang jia 	养家	c=2 d=5.51848e-36 t=102671
yang lao shi 	杨老师	c=1 d=7.20002e-48 t=102671
yang li 	样例	c=1 d=1.05471e-09 t=102671
yang mao 	羊毛	c=1 d=1.18652e-12 t=102671
yang qi 	扬起	c=4 d=7.59512e-63 t=102671
yang qi 	氧气	c=4 d=4.43167e-15 t=102671
yang shi 	样式	c=11 d=1.42803e-07 t=102671
yang shi tu 	仰视图	c=2 d=1.31238e-51 t=102671
yang zi 	样子	c=1 d=2.50369e-150 t=102671
yao 	要	c=368 d=2.44424 t=102671
yao bu 	要不	c=19 d=2.94263e-07 t=102671
yao bu hou mian 	要不后面	c=1 d=1 t=83746
yao bu ran 	要不然	c=14 d=4.98165e-15 t=102671
yao bu shi 	要不是	c=1 d=3.45458e-114 t=102671
yao bu yao 	要不要	c=9 d=0.304221 t=102671
yao chi 	要吃	c=1 d=8.40002e-38 t=102671
yao dao 	要到	c=1 d=1.44077e-149 t=102671
yao de 	要得	c=7 d=7.90007e-22 t=102671
yao er 	幺儿	c=8 d=2.61436e-12 t=102671
yao gai zhang 	要盖章	c=1 d=1 t=94259
yao gen 	要跟	c=1 d=1.77768e-33 t=102671
yao ji 	药剂	c=4 d=1.02637 t=102671
yao kong 	遥控	c=1 d=1.19161e-33 t=102671
yao kong qi 	遥控器	c=3 d=0.995012 t=102671
yao me 	要么	c=18 d=0.436343 t=102671
yao mei you 	要没有	c=1 d=6.38238e-71 t=102671
yao qing 	要请	c=2 d=5.17556e-17 t=102671
yao qing 	邀请	c=4 d=6.22726e-13 t=102671
yao qiu 	要求	c=27 d=0.745135 t=102671
yao qu 	要去	c=8 d=1.00522e-06 t=102671
yao qu xue xiao 	要去学校	c=1 d=3.47319e-89 t=102671
yao shi 	要是	c=14 d=1.08983e-12 t=102671
yao shi 	钥匙	c=1 d=9.24314e-75 t=102671
yao shi xian 	要实现	c=1 d=3.15423e-44 t=102671
yao shuo 	要说	c=2 d=5.53537e-43 t=102671
yao xiang 	要想	c=1 d=1 t=83349
yao yong 	要用	c=1 d=1.40686e-16 t=102671
yao you 	要有	c=1 d=3.70179e-133 t=102671
yao zhao 	要找	c=0 d=1.60108e-09 t=102671
yao zhao wo 	要找我	c=1 d=1.60911e-08 t=102671
yao zhu yi 	要注意	c=1 d=5.99174e-122 t=102671
yao zuo 	要做	c=1 d=1.42739e-10 t=102671
ybg 	引	c=2 d=4.03841e-10 t=102671
ybg nnu drl 	引尿端	c=15 d=4.89655 t=97645
ybj 	银	c=2 d=2.75927e-29 t=102671
ybkd; 	因	c=1 d=1 t=96181
ybl 	音	c=2 d=1.08765e-106 t=102671
ybl; mood; 	音膜	c=2 d=1.35469e-42 t=102671
ybp 	印	c=1 d=2.76689e-32 t=102671
ybpy 	殷	c=1 d=0.826959 t=102671
ybpy; 	殷	c=8 d=2.22744e-10 t=102671
ybpy; cu 	殷粗	c=1 d=1 t=101129
ycb shi 	窈是	c=1 d=3.52842e-10 t=102671
yck 	咬	c=1 d=8.26571e-113 t=102671
ycny 	妖	c=1 d=1 t=94927
ye 	也	c=345 d=2.44348 t=102671
ye bu 	也不	c=0 d=9.26332e-131 t=102671
ye bu neng 	也不能	c=1 d=0.00647375 t=102671
ye bu shi 	也不是	c=2 d=2.67655e-112 t=102671
ye bu shu xi 	也不熟悉	c=1 d=4.46147e-35 t=102671
ye bu xiao de 	也不晓得	c=1 d=9.30975e-130 t=102671
